candidate_id,project,file,candidate_type,syntax_status,oracle_status,screening_status,screening_reason
kanboard-C0001,kanboard,config.default.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0002,kanboard,app/check_setup.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0003,kanboard,app/functions.php,session_dependent_logic,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0004,kanboard,libs/SimpleValidator/Validators/Email.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0005,kanboard,libs/picodb/lib/PicoDb/Database.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0006,kanboard,libs/picodb/lib/PicoDb/StatementHandler.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0007,kanboard,libs/picodb/lib/PicoDb/Table.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0008,kanboard,libs/picodb/lib/PicoDb/Driver/Base.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0009,kanboard,libs/picodb/lib/PicoDb/Driver/Base.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0010,kanboard,libs/picodb/lib/PicoDb/Driver/Mysql.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0011,kanboard,libs/picodb/lib/PicoDb/Driver/Mysql.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0012,kanboard,libs/picodb/lib/PicoDb/Driver/Postgres.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0013,kanboard,libs/picodb/lib/PicoDb/Driver/Postgres.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0014,kanboard,libs/phpqrcode/lib/PHPQRCode/FrameFiller.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0015,kanboard,libs/phpqrcode/lib/PHPQRCode/QRcode.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0016,kanboard,libs/phpqrcode/lib/PHPQRCode/QRencode.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0017,kanboard,libs/phpqrcode/lib/PHPQRCode/QRinput.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0018,kanboard,libs/phpqrcode/lib/PHPQRCode/QRmask.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0019,kanboard,libs/phpqrcode/lib/PHPQRCode/QRrsItem.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0020,kanboard,libs/phpqrcode/lib/PHPQRCode/QRspec.php,mixed_php_html,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
kanboard-C0021,kanboard,libs/phpqrcode/lib/PHPQRCode/QRspec.php,mixed_php_html,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
kanboard-C0022,kanboard,libs/phpqrcode/lib/PHPQRCode/QRsplit.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0023,kanboard,libs/phpqrcode/lib/PHPQRCode/QRtools.php,mixed_php_html,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0024,kanboard,libs/minify/src/CSS.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0025,kanboard,libs/minify/src/CSS.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0026,kanboard,libs/minify/src/CSS.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0027,kanboard,libs/minify/src/CSS.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0028,kanboard,libs/minify/src/CSS.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0029,kanboard,libs/minify/src/CSS.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0030,kanboard,libs/minify/src/JS.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0031,kanboard,libs/minify/src/JS.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0032,kanboard,libs/minify/src/JS.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0033,kanboard,libs/minify/src/JS.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0034,kanboard,libs/minify/src/Minify.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0035,kanboard,libs/jsonrpc/src/JsonRPC/Response/ResponseBuilder.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0036,kanboard,app/Controller/BoardAjaxController.php,mixed_php_html,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
kanboard-C0037,kanboard,app/Controller/TaskBulkChangePropertyController.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0038,kanboard,app/Controller/TaskModificationController.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0039,kanboard,app/Controller/UserModificationController.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0040,kanboard,app/Core/Paginator.php,mixed_php_html_sql,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
kanboard-C0041,kanboard,app/EventBuilder/TaskEventBuilder.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0042,kanboard,app/EventBuilder/TaskEventBuilder.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0043,kanboard,app/Helper/FileHelper.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0044,kanboard,app/Helper/FormHelper.php,mixed_php_html,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
kanboard-C0045,kanboard,app/Helper/ProjectRoleHelper.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
kanboard-C0046,kanboard,app/Helper/SubtaskHelper.php,mixed_php_html,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
kanboard-C0047,kanboard,app/Helper/TaskHelper.php,mixed_php_html,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
