candidate_id,project,file,start_line,end_line,candidate_type,dominant_issue,complexity_proxy,request_parameters,session_keys,database_tables,dom_selectors,forms,allowed_transformations,oracle_status
phpbb-C0001,phpbb,build/build_helper.php,142,327,long_method_or_region,Long or Complex Region,29,,,,,,Extract Method,pending
phpbb-C0002,phpbb,phpBB/index.php,1,246,mixed_php_html_sql,SQL in Presentation Logic,28,,,,,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
phpbb-C0003,phpbb,phpBB/mcp.php,1,326,sql_data_access,SQL/Data Access Region,57,quickmod,,the,#logs,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0004,phpbb,phpBB/memberlist.php,1,1633,sql_data_access,SQL/Data Access Region,273,submit,,clause;here;profile;the;users,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0005,phpbb,phpBB/posting.php,1,1984,mixed_php_html_sql,SQL in Presentation Logic,385,add_file;attach_sig;cancel;cancel_unglobalise;delete_file;disable_bbcode;disable_magic_url;disable_smilies;draft_loaded;load;lock_post;lock_topic;notify;poll_delete;poll_vote_change;preview;save;soft_delete,,database;event;post;the,,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
phpbb-C0006,phpbb,phpBB/search.php,1,1552,mixed_php_html_sql,SQL in Presentation Logic,261,,,URL;active;optimized;string;the,.posthilit,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
phpbb-C0007,phpbb,phpBB/ucp.php,1,400,mixed_php_html_sql,SQL in Presentation Logic,48,not_agreed;p,,deletion,,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
phpbb-C0008,phpbb,phpBB/viewforum.php,1,1030,mixed_php_html_sql,SQL in Presentation Logic,169,e;sort,,sticky;the,,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
phpbb-C0009,phpbb,phpBB/viewonline.php,1,517,mixed_php_html_sql,SQL in Presentation Logic,74,,,,.username-coloured,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
phpbb-C0010,phpbb,phpBB/viewtopic.php,1,2306,mixed_php_html_sql,SQL in Presentation Logic,373,e;f;sort,,account;forum;template;the;topic;user;users;where,.display_post;.posthilit,,Light Data-Access Isolation;Extract Method;Extract View Helper,pending
phpbb-C0011,phpbb,tests/avatar/manager_test.php,1,441,sql_data_access,SQL/Data Access Region,15,,,,"# . $id;
		$result = $this->db->sql_query_limit($sql, 1);

		$row = $this->manager->clean_row($this->db->sql_fetchrow($result), substr($prefix, 0, -1));
		$this->db->sql_freeresult($result);

		foreach ($expected as $key => $value)
		{
			$this->assertEquals($value, $row[$key]);
		}
	}

	/**
	 * @dependsOn test_handle_avatar_delete
	 */
	public function test_user_group_avatar_deleted()
	{
		$sql = ",,Light Data-Access Isolation;Extract Method,pending
phpbb-C0012,phpbb,tests/bbcode/parser_test.php,19,245,long_method_or_region,Long or Complex Region,4,,,,,,Extract Method,pending
phpbb-C0013,phpbb,tests/content_visibility/delete_post_test.php,25,288,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0014,phpbb,tests/content_visibility/delete_post_test.php,288,355,sql_data_access,SQL/Data Access Region,2,,,phpbb_forums;phpbb_posts;phpbb_topics,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0015,phpbb,tests/content_visibility/get_forums_visibility_sql_test.php,21,124,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0016,phpbb,tests/content_visibility/get_global_visibility_sql_test.php,21,124,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0017,phpbb,tests/controller/common_helper_route.php,149,185,long_method_or_region,Long or Complex Region,15,,,,,,Extract Method,pending
phpbb-C0018,phpbb,tests/controller/common_helper_route.php,193,229,long_method_or_region,Long or Complex Region,15,,,,,,Extract Method,pending
phpbb-C0019,phpbb,tests/controller/common_helper_route.php,237,273,long_method_or_region,Long or Complex Region,15,,,,,,Extract Method,pending
phpbb-C0020,phpbb,tests/controller/common_helper_route.php,281,317,long_method_or_region,Long or Complex Region,15,,,,,,Extract Method,pending
phpbb-C0021,phpbb,tests/controller/common_helper_route.php,325,361,long_method_or_region,Long or Complex Region,15,,,,,,Extract Method,pending
phpbb-C0022,phpbb,tests/controller/common_helper_route.php,369,405,long_method_or_region,Long or Complex Region,15,,,,,,Extract Method,pending
phpbb-C0023,phpbb,tests/controller/common_helper_route.php,413,446,long_method_or_region,Long or Complex Region,15,,,,,,Extract Method,pending
phpbb-C0024,phpbb,tests/controller/common_helper_route.php,454,490,long_method_or_region,Long or Complex Region,15,,,,,,Extract Method,pending
phpbb-C0025,phpbb,tests/dbal/auto_increment_test.php,62,103,sql_data_access,SQL/Data Access Region,1,,,prefix_table_name,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0026,phpbb,tests/dbal/migrator_test.php,1,358,sql_data_access,SQL/Data Access Region,19,,,phpbb_config;phpbb_migrations,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0027,phpbb,tests/dbal/migrator_test.php,88,131,sql_data_access,SQL/Data Access Region,1,,,phpbb_config;phpbb_migrations,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0028,phpbb,tests/dbal/migrator_test.php,199,254,sql_data_access,SQL/Data Access Region,4,,,phpbb_config;phpbb_migrations,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0029,phpbb,tests/dbal/migrator_tool_permission_test.php,193,222,long_method_or_region,Long or Complex Region,13,,,,,,Extract Method,pending
phpbb-C0030,phpbb,tests/dbal/order_lower_test.php,21,75,sql_data_access,SQL/Data Access Region,3,,,phpbb_styles,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0031,phpbb,tests/dbal/select_test.php,1,474,sql_data_access,SQL/Data Access Region,20,,,phpbb_users,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0032,phpbb,tests/download/http_user_agent_test.php,18,130,long_method_or_region,Long or Complex Region,1,,,,,,Extract Method,pending
phpbb-C0033,phpbb,tests/extension/modules_test.php,57,177,long_method_or_region,Long or Complex Region,3,,,,,,Extract Method,pending
phpbb-C0034,phpbb,tests/functional/download_test.php,1,293,sql_data_access,SQL/Data Access Region,27,,,phpbb_attachments;phpbb_forums;phpbb_posts;phpbb_topics,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0035,phpbb,tests/functional/download_test.php,226,294,sql_data_access,SQL/Data Access Region,12,,,phpbb_attachments;phpbb_forums;phpbb_posts;phpbb_topics,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0036,phpbb,tests/functional/extension_acp_test.php,1,237,sql_data_access,SQL/Data Access Region,25,,,phpbb_ext,,,Light Data-Access Isolation;Extract Method,pending
phpbb-C0037,phpbb,tests/functional/extension_acp_test.php,40,84,sql_data_access,SQL/Data Access Region,1,,,phpbb_ext,,,Light Data-Access Isolation;Extract Method,pending
