candidate_id,project,file,candidate_type,syntax_status,oracle_status,screening_status,screening_reason
dolibarr-C0001,dolibarr,htdocs/document.php,long_method_or_region,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0002,dolibarr,htdocs/document.php,long_method_or_region,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0003,dolibarr,htdocs/filefunc.inc.php,mixed_php_html,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0004,dolibarr,htdocs/index.php,mixed_php_html_sql,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0005,dolibarr,htdocs/index.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0006,dolibarr,htdocs/main.inc.php,mixed_php_html_sql,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0007,dolibarr,htdocs/main.inc.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0008,dolibarr,htdocs/main.inc.php,session_dependent_logic,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0009,dolibarr,htdocs/main.inc.php,session_dependent_logic,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0010,dolibarr,htdocs/main.inc.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0011,dolibarr,htdocs/main.inc.php,session_dependent_logic,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0012,dolibarr,htdocs/main.inc.php,session_dependent_logic,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0013,dolibarr,htdocs/main.inc.php,session_dependent_logic,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0014,dolibarr,htdocs/main.inc.php,long_method_or_region,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0015,dolibarr,htdocs/main.inc.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0016,dolibarr,htdocs/main.inc.php,form_handling,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0017,dolibarr,htdocs/master.inc.php,form_handling,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0018,dolibarr,htdocs/viewimage.php,long_method_or_region,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0019,dolibarr,htdocs/viewimage.php,long_method_or_region,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0020,dolibarr,test/phpunit/AllTests.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0021,dolibarr,test/phpunit/CodingPhpTest.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0022,dolibarr,test/phpunit/CodingSqlTest.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0023,dolibarr,test/phpunit/CommandeFournisseurTest.php,sql_data_access,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0024,dolibarr,test/phpunit/CommandeFournisseurTest.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0025,dolibarr,test/phpunit/CoreTest.php,mixed_php_html,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0026,dolibarr,test/phpunit/CoreTest.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0027,dolibarr,test/phpunit/CoreTest.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0028,dolibarr,test/phpunit/DateLibTest.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0029,dolibarr,test/phpunit/ExpenseReportTest.php,sql_data_access,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0030,dolibarr,test/phpunit/ExpenseReportTest.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0031,dolibarr,test/phpunit/ExportTest.php,mixed_php_html_sql,PASS,pending,NEEDS_CHARACTERIZATION,Candidate has observable request/output contract but no stable oracle yet.
dolibarr-C0032,dolibarr,test/phpunit/ExportTest.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0033,dolibarr,test/phpunit/ExportTest.php,sql_data_access,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0034,dolibarr,test/phpunit/FactureRecTest.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
dolibarr-C0035,dolibarr,test/phpunit/FactureTest.php,long_method_or_region,PASS,pending,NEEDS_MANUAL_ORACLE_REVIEW,No obvious web contract was extracted; existing tests or manual characterization must be mapped.
